profile	kind	field	present	absent	numeric	minimum	maximum	modal-value	modal-count	distinct	shapes
gs5r3	encounter	THF1	1	313	0	-	-	-	0	0	array:1
gs5r3	encounter	THF2	1	313	0	-	-	-	0	0	array:1
gs5r3	encounter	THFS	1	313	0	-	-	-	0	0	array:1
gs5r3	encounter	THF_GEN	9	305	0	-	-	-	0	0	array:9
gs5r3	encounter	WIZ1	1	313	0	-	-	-	0	0	array:1
gs5r3	encounter	WIZ2	1	313	0	-	-	-	0	0	array:1
gs5r3	encounter	WIZS	1	313	0	-	-	-	0	0	array:1
gs5r3	encounter	WIZ_GEN	9	305	0	-	-	-	0	0	array:9
gs5r3	encounter	ai_leave_alone	188	126	0	-	-	-	0	0	name:188
gs5r3	encounter	alldie	129	185	0	-	-	-	0	0	procedure:129
gs5r3	encounter	army_specification	225	89	0	-	-	-	0	0	procedure:225
gs5r3	encounter	army_spoils_list	70	244	0	-	-	-	0	0	procedure:70
gs5r3	encounter	artifact_spoils_list	65	249	0	-	-	-	0	0	procedure:65
gs5r3	encounter	auto_artifacts	103	211	0	-	-	-	0	0	name:103
gs5r3	encounter	barrow_number	1	313	1	-1	-1	-1	1	1	number:1
gs5r3	encounter	cave_number	1	313	1	-1	-1	-1	1	1	number:1
gs5r3	encounter	choice	1	313	1	1	1	1	1	1	number:1
gs5r3	encounter	disable_normal_spawning	57	257	0	-	-	-	0	0	name:57
gs5r3	encounter	discover_message	304	10	0	-	-	-	0	0	procedure:304
gs5r3	encounter	do_not_create_army	2	312	0	-	-	-	0	0	name:2
gs5r3	encounter	do_revenge_for_order	1	313	0	-	-	-	0	0	procedure:1
gs5r3	encounter	doorway_status	59	255	0	-	-	-	0	0	name:59
gs5r3	encounter	dummy	261	53	0	-	-	-	0	0	array:163 expression:98
gs5r3	encounter	dummy2	3	311	0	-	-	-	0	0	expression:3
gs5r3	encounter	encounter	206	108	0	-	-	-	0	0	procedure:206
gs5r3	encounter	encounter_attack_text	1	313	0	-	-	-	0	0	name:1
gs5r3	encounter	encounter_crystals	41	273	40	0	200	0	35	4	number:40 expression:1
gs5r3	encounter	encounter_enter2_text	1	313	0	-	-	-	0	0	name:1
gs5r3	encounter	encounter_enter_text	113	201	0	-	-	-	0	0	text:1 name:112
gs5r3	encounter	encounter_enter_text2	22	292	0	-	-	-	0	0	name:22
gs5r3	encounter	encounter_enter_text3	4	310	0	-	-	-	0	0	name:4
gs5r3	encounter	encounter_enter_text4	1	313	0	-	-	-	0	0	name:1
gs5r3	encounter	encounter_exit_text	116	198	0	-	-	-	0	0	text:1 name:115
gs5r3	encounter	encounter_exit_text2	3	311	0	-	-	-	0	0	name:3
gs5r3	encounter	encounter_food	41	273	40	0	200	0	29	7	number:40 expression:1
gs5r3	encounter	encounter_gold	41	273	40	0	200	0	27	8	number:40 expression:1
gs5r3	encounter	enter_barrow_level	1	313	1	-1	-1	-1	1	1	number:1
gs5r3	encounter	enter_progress_filename	75	239	0	-	-	-	0	0	text:75
gs5r3	encounter	entry_text_array	1	313	0	-	-	-	0	0	array:1
gs5r3	encounter	exit_key	3	311	0	-	-	-	0	0	text:3
gs5r3	encounter	exit_progress_filename	75	239	0	-	-	-	0	0	text:75
gs5r3	encounter	faith	313	1	1	0	0	0	1	1	number:1 name:312
gs5r3	encounter	fix_buildings	1	313	0	-	-	-	0	0	procedure:1
gs5r3	encounter	flee	128	186	0	-	-	-	0	0	procedure:128
gs5r3	encounter	get_dungeon_choice	1	313	0	-	-	-	0	0	procedure:1
gs5r3	encounter	key	296	18	0	-	-	-	0	0	text:296
gs5r3	encounter	lose	308	6	0	-	-	-	0	0	procedure:308
gs5r3	encounter	makeglue	1	313	0	-	-	-	0	0	procedure:1
gs5r3	encounter	mapfile	308	6	0	-	-	-	0	0	text:297 procedure:11
gs5r3	encounter	maps	40	274	0	-	-	-	0	0	array:40
gs5r3	encounter	multi_level_dung	8	306	0	-	-	-	0	0	name:8
gs5r3	encounter	name	306	8	0	-	-	-	0	0	text:50 name:256
gs5r3	encounter	names	8	306	0	-	-	-	0	0	array:8
gs5r3	encounter	on_new_game	120	194	0	-	-	-	0	0	procedure:120
gs5r3	encounter	owner	313	1	4	1	2	2	3	2	number:4 name:309
gs5r3	encounter	parley_encounter	125	189	125	0	2	0	99	3	number:125
gs5r3	encounter	pick1	1	313	0	-	-	-	0	0	array:1
gs5r3	encounter	pick2	1	313	0	-	-	-	0	0	array:1
gs5r3	encounter	pick5	1	313	0	-	-	-	0	0	array:1
gs5r3	encounter	quest_list	57	257	0	-	-	-	0	0	dictionary:57
gs5r3	encounter	random_barrows	1	313	0	-	-	-	0	0	array:1
gs5r3	encounter	random_orc_caves	1	313	0	-	-	-	0	0	array:1
gs5r3	encounter	resource_delta	66	248	0	-	-	-	0	0	procedure:66
gs5r3	encounter	scenario	205	109	0	-	-	-	0	0	text:205
gs5r3	encounter	setup	313	1	0	-	-	-	0	0	procedure:313
gs5r3	encounter	setup_second_level	1	313	0	-	-	-	0	0	procedure:1
gs5r3	encounter	spells_spoils_list	8	306	0	-	-	-	0	0	procedure:8
gs5r3	encounter	spoils	164	150	0	-	-	-	0	0	procedure:164
gs5r3	encounter	sprite_type	313	1	1	0	0	0	1	1	number:1 procedure:1 expression:311
gs5r3	encounter	tiles	40	274	0	-	-	-	0	0	array:40
gs5r3	encounter	tileset	311	3	0	-	-	-	0	0	text:300 procedure:11
gs5r3	encounter	time	1	313	1	1	1	1	1	1	number:1
gs5r3	encounter	type_override	60	254	0	-	-	-	0	0	text:16 name:44
gs5r3	encounter	unknown_name	167	147	0	-	-	-	0	0	text:8 name:159
gs5r3	encounter	win	136	178	0	-	-	-	0	0	procedure:136
gs5r3	faction	symbols_declaring_this_faith	8	0	8	77	246	85	2	7	number:8
gs5r3	building	code	12	0	0	-	-	-	0	0	text:12
gs5r3	building	first_level	12	0	12	0	0	0	12	1	number:12
gs5r3	building	last_level	12	0	12	1	3	3	10	2	number:12
